Bestellnummer,Hersteller,Werkstoff,Oesenform,d[mm] Drahtdurchmesser,De[mm] Ausserer Windungsdurchmesser,Detol[mm] (+-) Tolereanz fuer ausseren Windungsdurchmesser,Dh[mm] Kleinster Huelsendurchmesser,Oesenstellung,Oesensttol,L0[mm] Laenge unbelastete Feder,L0tol[mm] (+-) Toleranz fuer ungespannte Laenge,Lk[mm] Laenge der unbelasteten Feder,Lh[mm] Abstand der Oeseninnenkante vom Federkoerper,F0[N] Innere Vorspannkraft,Fn[N] Hoechstkraft bei statischer Belastung,Fntol[N] (+-) Toleranz bei statischer Hoechstkraft,k[N/mm] Federrate,Sn[mm] Groesster Federweg bei statischer Belastung,Masse,Preisgruppe,W[Nmm] Federungsarbeit,Ln[mm] Maximal zulaessige Laenge,Lr[mm] Relevante Laenge,Lf[mm] Freie Laenge,V[Nmm] Maximale potentielle Energie
RZ-177K-10I,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,3.6,32,0.4,37.8,180,20,89,1.5,48.6,20.2,28.2,368.5,23.8,5.133,66.3,102.329,AE,13150.605,155.3,71.790376,83.509624,13227.37678
RZ-177K-10X,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,3.6,32,0.4,37.8,270,20,89,1.5,49.5,19.75,28.2,368.5,23.8,5.032,67.6,104.124,AE,13408.46,156.6,73.23131955,83.36868045,13492.87063
RZ-177K-11I,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,3.6,32,0.4,37.8,180,25,118,2,77.4,20.3,28.2,368.5,22.9,3.13,108.7,159.776,AF,21560.645,226.7,117.7316294,108.9683706,21692.05272
RZ-177K-11X,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,3.6,32,0.4,37.8,270,25,118,2,78.3,19.85,28.2,368.5,22.9,3.092,110.1,161.571,AF,21838.335,228.1,119.1785252,108.9214748,21958.64327
RZ-177KI,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,3.6,40,0.6,46,180,50,272,4,217.8,27.1,15.6,298,15.66,0.512,551.52,563.73,AO,86478.336,823.52,582.03125,241.48875,86722.65625
RZ-177KX,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,3.6,40,0.6,46,270,50,272,4,218.7,26.65,15.6,298,15.65,0.51,553.83,566.03,AO,86840.544,825.83,584.3137255,241.5162745,87062.7451
RZ-177LI,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,3.6,25,0.35,30.8,180,17,68.1,1.5,37.8,15.15,29.4,463.3,46.84,15.785,27.57,60.874,AD,6791.8695,95.67,29.35064935,66.31935065,6799.077922
RZ-177LX,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,3.6,25,0.35,30.8,270,17,68.1,1.5,38.7,14.7,29.4,463.3,46.32,15.381,28.22,62.226,AD,6951.997,96.32,30.12157857,66.19842143,6977.663676
RZ-177MI,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,3.6,25,0.35,30.8,180,22,89.7,1.5,59.4,15.15,29.4,463.3,39.95,9.675,44.86,93.34,AE,11051.261,134.56,47.88630491,86.67369509,11092.86253
RZ-177MX,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,3.6,25,0.35,30.8,270,22,89.7,1.5,60.3,14.7,29.4,463.3,39.79,9.521,45.58,94.692,AE,11228.633,135.28,48.66085495,86.61914505,11272.28705
RZ-177NI,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,3.6,25,0.35,30.8,180,27,122,2,91.8,15.1,29.4,463.3,36.01,6.121,70.9,142.039,AF,17466.215,192.9,75.69024669,117.2097533,17533.64565
RZ-177NX,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,3.6,25,0.35,30.8,270,27,122,2,92.7,14.65,29.4,463.3,35.93,6.059,71.62,143.391,AF,17643.587,193.62,76.46476316,117.1552368,17713.06239
RZ-177OI,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,3.6,25,0.35,30.8,180,34,176,2.5,145.8,15.1,29.4,463.3,33,3.797,114.31,223.203,AG,28160.2685,290.31,122.0173821,168.2926179,28265.32657
RZ-177OX,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,3.6,25,0.35,30.8,270,35,176,2.5,146.7,14.65,29.4,463.3,32.96,3.773,115.03,224.556,AG,28337.6405,291.03,122.793533,168.236467,28445.12192
RZ-177PI,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,3.6,25,0.35,30.8,180,42,248,2.5,217.8,15.1,29.4,463.3,31.27,2.52,172.19,331.423,AH,42419.0065,420.19,183.8492063,236.3407937,42588.66865
RZ-177PX,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,3.6,25,0.35,30.8,270,42,248,2.5,218.7,14.65,29.4,463.3,31.26,2.51,172.91,332.776,AH,42596.3785,420.91,184.5816733,236.3283267,42758.34462
RZ-177QI,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,3.6,18,0.4,23.8,180,16,56.9,1.1,37.8,9.55,57.6,617.1,102.35,51.809,10.8,40.962,AD,3643.38,67.7,11.91105792,55.78894208,3675.156923
RZ-177QX,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,3.6,18,0.4,23.8,270,16,56.9,1.1,38.7,9.1,57.6,617.1,101.12,50.481,11.09,41.872,AD,3741.2115,67.99,12.22440126,55.76559874,3771.839009
RZ-177RI,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,3.6,18,0.4,23.8,180,20,78.5,1.5,59.4,9.55,57.6,617.1,86.25,31.754,17.63,62.808,AD,5947.4805,96.13,19.43377212,76.69622788,5996.290389
RZ-177RX,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,3.6,18,0.4,23.8,270,21,78.5,1.5,60.3,9.1,57.6,617.1,85.9,31.25,17.91,63.718,AD,6041.9385,96.41,19.7472,76.6628,6092.99856
RZ-177SI,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,3.6,18,0.4,23.8,180,26,111,2,91.8,9.6,57.6,617.1,77.07,20.089,27.87,95.577,AE,9401.9445,138.87,30.71830355,108.1516965,9478.13256
RZ-177SX,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,3.6,18,0.4,23.8,270,26,111,2,92.7,9.15,57.6,617.1,76.89,19.886,28.15,96.488,AE,9496.4025,139.15,31.03188173,108.1181183,9574.887107
RZ-177TI,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,3.6,18,0.4,23.8,180,33,165,2.5,145.8,9.6,57.6,617.1,70.05,12.46,44.93,150.193,AF,15157.1355,209.93,49.52648475,160.4035152,15281.39687
RZ-177TX,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,3.6,18,0.4,23.8,270,33,165,2.5,146.7,9.15,57.6,617.1,69.97,12.382,45.21,151.103,AF,15251.5935,210.21,49.83847521,160.3715248,15377.66152
RZ-177UI,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,3.6,18,0.4,23.8,180,40,237,2.5,217.8,9.6,57.6,617.1,66.01,8.272,67.67,223.014,AG,22828.4745,304.67,74.60106383,230.0689362,23018.15824
RZ-177UX,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,3.6,18,0.4,23.8,270,40,237,2.5,218.7,9.15,57.6,617.1,65.98,8.237,67.96,223.924,AG,22926.306,304.96,74.91805269,230.0419473,23115.96516
RZ-177X,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,3.2,19.2,0.3,24.3,270,34,151,2,130.4,10.3,36.4,422.9,36.94,5.635,68.6,132.656,ZQ,15753.99,219.6,75.04880213,144.5511979,15869.06921
RZ-178AI,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,4,44,0.6,50.6,180,28,145,2.4,86,29.5,19.6,366.5,21.5,1.707,203.2,277.823,AH,39227.76,348.2,214.7041593,133.4958407,39344.5372
RZ-178AX,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,4,44,0.6,50.6,270,28,145,2.4,87,29,19.6,366.5,21.5,1.687,205.7,280.945,AH,39710.385,350.7,217.2495554,133.4504446,39810.98103
RZ-178I,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,4,44,0.6,50.6,180,24,117,2.4,58,29.5,19.6,366.5,24.63,2.593,133.83,190.418,AG,25835.8815,250.83,141.3420748,109.4879252,25900.93521
RZ-178X,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,4,44,0.6,50.6,270,24,117,2.4,59,29,19.6,366.5,24.48,2.546,136.3,193.54,AG,26312.715,253.3,143.9512962,109.3487038,26379.07502
RZ-179I,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,4,44,0.6,50.6,180,34,173,3,114,29.5,19.6,366.5,21.14,1.273,272.61,365.228,AJ,52627.3605,445.61,287.9025923,157.7074077,52758.15004
RZ-179X,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,4,44,0.6,50.6,270,34,173,3,115,29,19.6,366.5,21.1,1.261,275.09,368.35,AJ,53106.1245,448.09,290.6423473,157.4476527,53260.21015
RZ-180I,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,4,44,0.6,50.6,180,41,225,3,166,29.5,19.6,366.5,19.88,0.864,401.48,527.552,AM,77505.714,626.48,424.1898148,202.2901852,77732.78356
RZ-180X,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,4,44,0.6,50.6,270,41,225,3,167,29,19.6,366.5,19.86,0.859,403.95,530.673,AM,77982.5475,628.95,426.6589057,202.2910943,78185.24447
RZ-181I,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,4,44,0.6,50.6,180,44,249,3,190,29.5,19.6,366.5,19.46,0.753,460.95,602.47,AO,88986.3975,709.95,486.7197875,223.2302125,89191.40106
RZ-181X,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,4,44,0.6,50.6,270,44,249,3,191,29,19.6,366.5,19.45,0.749,463.43,605.592,AO,89465.1615,712.43,489.3190921,223.1109079,89667.72363
RZ-182I,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,4,44,0.6,50.6,180,47,277,4,218,29.5,19.6,366.5,19.15,0.654,530.34,689.875,AR,102382.137,807.34,560.3975535,246.9424465,102692.8517
RZ-182X,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,4,44,0.6,50.6,270,47,277,4,219,29,19.6,366.5,19.14,0.651,532.74,692.997,AR,102845.457,809.74,562.9800307,246.7599693,103166.0906
RZ-183I,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,4,44,0.6,50.6,180,51,309,4,250,29.5,19.6,366.5,18.94,0.569,609.55,789.767,AS,117673.6275,918.55,644.112478,274.437522,118033.6116
RZ-183X,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,4,44,0.6,50.6,270,51,309,4,251,29,19.6,366.5,18.94,0.567,612.03,792.888,AS,118152.3915,921.03,646.3844797,274.6455203,118449.9559
RZ-184I,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,4,44,0.6,50.6,180,54,341,4,282,29.5,19.6,366.5,18.76,0.504,688.95,889.658,AU,133001.7975,1029.95,727.1825397,302.7674603,133256.2004
RZ-184X,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,4,44,0.6,50.6,270,54,341,4,283,29,19.6,366.5,18.76,0.502,691.43,892.78,AU,133480.5615,1032.43,730.0796813,302.3503187,133787.1016
RZ-185I,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,4,44,0.6,50.6,180,57,373,4,314,29.5,19.6,366.5,18.6,0.452,768.26,989.55,AX,148312.593,1141.26,810.840708,330.419292,148586.5597
RZ-185X,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,4,44,0.6,50.6,270,57,373,4,315,29,19.6,366.5,18.6,0.45,770.73,992.671,AX,148789.4265,1143.73,814.4444444,329.2855556,149246.9444
RZ-186AI,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,4,36,0.5,42.5,180,25,132,2,86,23,27.5,443.6,27,3.335,124.8,222.259,AF,29396.64,256.8,133.0134933,123.7865067,29502.3928
RZ-186AX,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,4,36,0.5,42.5,270,25,132,2,87,22.5,27.5,443.6,27,3.294,126.3,224.756,AF,29749.965,258.3,134.6690953,123.6309047,29869.60534
RZ-186I,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,4,36,0.5,42.5,180,21,104,2,58,23,27.5,443.6,31.11,5.064,82.19,152.334,AE,19359.8545,186.19,87.59873618,98.59126382,19429.39968
RZ-186X,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,4,36,0.5,42.5,270,21,104,2,59,22.5,27.5,443.6,30.92,4.972,83.71,154.832,AE,19717.8905,187.71,89.21962993,98.49037007,19788.91392
RZ-187I,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,4,36,0.5,42.5,180,30,160,2,114,23,27.5,443.6,26.65,2.486,167.42,292.183,AG,39435.781,327.42,178.4392599,148.9807401,39577.82784
RZ-187X,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,4,36,0.5,42.5,270,30,160,2,115,22.5,27.5,443.6,26.6,2.463,168.94,294.68,AG,39793.817,328.94,180.1055623,148.8344377,39947.41372
RZ-188I,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,4,36,0.5,42.5,180,37,212,2.5,166,23,27.5,443.6,25.03,1.688,246.57,422.041,AL,58079.5635,458.57,262.7962085,195.7737915,58288.19905
RZ-188X,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,4,36,0.5,42.5,270,37,212,2.5,167,22.5,27.5,443.6,25.01,1.678,248.09,424.539,AM,58437.5995,460.09,264.3623361,195.7276639,58635.56615
RZ-189I,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,4,36,0.5,42.5,180,39,236,2.5,190,23,27.5,443.6,24.51,1.47,283.1,481.976,AN,66684.205,519.1,301.7687075,217.3312925,66932.29932
RZ-189X,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,4,36,0.5,42.5,270,39,236,2.5,191,22.5,27.5,443.6,24.49,1.462,284.62,484.474,AN,67042.241,520.62,303.4199726,217.2000274,67298.54993
RZ-190I,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,4,36,0.5,42.5,180,42,264,3,218,23,27.5,443.6,24.1,1.278,325.71,551.9,AO,76720.9905,589.71,347.1048513,242.6051487,76987.85603
RZ-190X,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,4,36,0.5,42.5,270,42,264,3,219,22.5,27.5,443.6,24.09,1.272,327.23,554.398,AO,77079.0265,591.23,348.7421384,242.4878616,77351.00629
RZ-191I,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,4,36,0.5,42.5,180,45,296,3,250,23,27.5,443.6,23.84,1.111,374.42,631.813,AP,88194.631,670.42,399.279928,271.140072,88560.28803
RZ-191X,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,4,36,0.5,42.5,270,45,296,3,251,22.5,27.5,443.6,23.83,1.107,375.94,634.311,AP,88552.667,671.94,400.7226739,271.2173261,88880.28907
RZ-192I,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,4,36,0.5,42.5,180,48,328,3,282,23,27.5,443.6,23.61,0.984,423.1,711.726,AR,99661.205,751.1,450.8130081,300.2869919,99990.3252
RZ-192X,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,4,36,0.5,42.5,270,48,328,3,283,22.5,27.5,443.6,23.6,0.98,424.64,714.224,AR,100023.952,752.64,452.6530612,299.9869388,100398.449
RZ-193I,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,4,36,0.5,42.5,180,51,360,3,314,23,27.5,443.6,23.41,0.882,471.83,791.64,AS,111139.5565,831.83,502.9478458,328.8821542,111553.8322
RZ-193X,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,4,36,0.5,42.5,270,51,360,3,315,22.5,27.5,443.6,23.4,0.879,473.35,794.137,AS,111497.5925,833.35,504.6643914,328.6856086,111934.562
RZ-194AI,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,4,29,0.35,35.4,180,23,121,2,86,17.5,35.2,542.5,38.8,6.993,72.5,173.639,AF,20941.625,193.5,77.57757758,115.9224224,21042.91792
RZ-194AX,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,4,29,0.35,35.4,270,23,121,2,87,17,35.2,542.5,38.8,6.909,73.4,175.59,AF,21201.59,194.4,78.52077001,115.87923,21298.75887
RZ-194I,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,4,29,0.35,35.4,180,20,93.6,1.5,58,17.8,35.2,542.5,45.48,10.619,47.78,119.011,AF,13801.253,141.38,51.08767304,90.29232696,13857.53131
RZ-194X,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,4,29,0.35,35.4,270,20,93.6,1.5,59,17.3,35.2,542.5,45.19,10.426,48.67,120.962,AF,14058.3295,142.27,52.03337809,90.23662191,14114.05381
RZ-195I,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,4,29,0.35,35.4,180,29,149,2,114,17.5,35.2,542.5,38.66,5.213,97.33,228.268,AG,28113.7705,246.33,104.0667562,142.2632438,28228.10762
RZ-195X,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,4,29,0.35,35.4,270,29,149,2,115,17,35.2,542.5,38.59,5.166,98.22,230.219,AG,28370.847,247.22,105.0135501,142.2064499,28484.92547
RZ-196I,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,4,29,0.35,35.4,180,35,201,2.5,166,17.5,35.2,542.5,36.2,3.54,143.35,329.72,AH,41406.6475,344.35,153.2485876,191.1014124,41568.67938
RZ-196X,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,4,29,0.35,35.4,270,35,201,2.5,167,17,35.2,542.5,36.16,3.518,144.23,331.671,AH,41660.8355,345.23,154.2069358,191.0230642,41828.63132
RZ-197I,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,4,29,0.35,35.4,180,38,225,2.5,190,17.5,35.2,542.5,35.39,3.083,164.58,376.544,AJ,47538.933,389.58,175.9649692,213.6150308,47730.49789
RZ-197X,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,4,29,0.35,35.4,270,38,225,2.5,191,17,35.2,542.5,35.36,3.067,165.47,378.495,AJ,47796.0095,390.47,176.8829475,213.5870525,47979.49951
RZ-198I,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,4,29,0.35,35.4,180,40,253,3,218,17.5,35.2,542.5,34.78,2.68,189.36,431.172,AM,54696.636,442.36,202.4253731,239.9346269,54907.88246
RZ-198X,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,4,29,0.35,35.4,270,40,253,3,219,17,35.2,542.5,34.76,2.667,190.25,433.123,AM,54953.7125,443.25,203.4120735,239.8379265,55175.52493
RZ-199I,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,4,29,0.35,35.4,180,43,285,3,250,17.5,35.2,542.5,34.38,2.331,217.68,493.604,AN,62876.868,502.68,232.7327327,269.9472673,63128.75375
RZ-199X,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,4,29,0.35,35.4,270,43,285,3,251,17,35.2,542.5,34.36,2.322,218.56,495.555,AN,63131.056,503.56,233.6347976,269.9252024,63373.43885
RZ-200I,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,4,29,0.35,35.4,180,46,317,3,282,17.5,35.2,542.5,34.03,2.063,245.99,556.036,AO,71054.2115,562.99,262.9665536,300.0234464,71329.67765
RZ-200X,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,4,29,0.35,35.4,270,46,317,3,283,17,35.2,542.5,34.02,2.055,246.88,557.987,AO,71311.288,563.88,263.9902676,299.8897324,71607.3601
RZ-201I,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,4,29,0.35,35.4,180,49,349,3,314,17.5,35.2,542.5,33.71,1.85,274.31,618.468,AP,79234.4435,623.31,293.2432432,330.0667568,79542.22973
RZ-201X,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,4,29,0.35,35.4,270,49,349,3,315,17,35.2,542.5,33,1.844,275.19,620.419,AP,79488.6315,624.19,294.197397,329.992603,79801.04393
RZ-202AI,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,4,24,0.35,30.4,180,23,113.5,2,86,13.75,55,643.3,58.9,13.659,43.1,138.911,AE,15048.365,156.6,47.09715206,109.5028479,15148.79896
RZ-202AX,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,4,24,0.35,30.4,270,23,113.5,2,87,13.25,55,643.3,58.9,13.494,43.6,140.472,AE,15222.94,157.1,47.67303987,109.4269601,15334.03327
RZ-202I,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,4,24,0.35,30.4,180,20,85.6,1.5,58,13.8,55,643.3,68.92,20.741,28.37,95.209,AE,9905.3855,113.97,31.0158623,82.9541377,9976.252109
RZ-202X,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,4,24,0.35,30.4,270,20,85.6,1.5,59,13.3,55,643.3,68.46,20.364,28.89,96.77,AE,10086.9435,114.49,31.59006089,82.89993911,10160.94309
RZ-203I,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,4,24,0.35,30.4,180,28,141,2,114,13.5,55,643.3,58.1,10.182,57.79,182.614,AF,20177.3785,198.79,63.18012178,135.6098782,20321.88617
RZ-203X,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,4,24,0.35,30.4,270,28,141,2,115,13,55,643.3,57.98,10.09,58.31,184.175,AF,20358.9365,199.31,63.75619425,135.5538057,20507.17988
RZ-204I,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,4,24,0.35,30.4,180,34,193,2.5,166,13.5,55,643.3,54.19,6.914,85.11,263.776,AG,29716.1565,278.11,93.04310095,185.066899,29927.31342
RZ-204X,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,4,24,0.35,30.4,270,34,193,2.5,167,13,55,643.3,54.13,6.871,85.63,265.337,AG,29897.7145,278.63,93.62538204,185.004618,30114.60413
RZ-2051I,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.2,3,0.2,3.5,180,37,8.6,0.6,4.3,2.15,0.051,0.991,0.1,0.031,30.17,0.049,ZH,15.71857,38.77,31.96774194,6.802258065,15.84001613
RZ-2051X,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.2,3,0.2,3.5,270,37,8.6,0.6,4.35,2.12,0.051,0.991,0.1,0.031,30.54,0.049,ZH,15.91134,39.14,31.96774194,7.172258065,15.84001613
RZ-2052I,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.2,3,0.2,3.5,180,53,13,0.6,8.7,2.15,0.051,0.991,0.09,0.015,62.55,0.097,ZH,32.58855,75.55,66.06666667,9.483333333,32.73603333
RZ-2052X,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.2,3,0.2,3.5,270,53,13,0.6,8.75,2.12,0.051,0.991,0.09,0.015,62.92,0.097,ZH,32.78132,75.92,66.06666667,9.853333333,32.73603333
RZ-2053I,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.2,3,0.2,3.5,180,65,17.4,0.7,13.1,2.15,0.051,0.991,0.09,0.01,94.93,0.145,ZH,49.45853,112.33,99.1,13.23,49.10405
RZ-2053X,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.2,3,0.2,3.5,270,66,17.4,0.7,13.15,2.12,0.051,0.991,0.09,0.01,95.29,0.145,ZH,49.64609,112.69,99.1,13.59,49.10405
RZ-2054I,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.2,3,0.2,3.5,180,76,21.8,0.7,17.5,2.15,0.051,0.991,0.08,0.007,127.3,0.193,ZH,66.3233,149.1,141.5714286,7.528571429,70.14864286
RZ-2054X,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.2,3,0.2,3.5,270,76,21.8,0.7,17.55,2.12,0.051,0.991,0.08,0.007,127.67,0.193,ZH,66.51607,149.47,141.5714286,7.898571429,70.14864286
RZ-205I,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,4,24,0.35,30.4,180,36,217,2.5,190,13.5,55,643.3,52.91,6.021,97.71,301.235,AG,34115.4465,314.71,106.8427172,207.8672828,34365.95997
RZ-205X,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,4,24,0.35,30.4,270,37,217,2.5,191,13,55,643.3,52.86,5.989,98.24,302.796,AG,34300.496,315.24,107.4135916,207.8264084,34549.58173
RZ-206I,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,4,24,0.35,30.4,180,39,245,2.5,218,13.5,55,643.3,51.93,5.234,112.42,344.938,AH,39251.443,357.42,122.9079098,234.5120902,39533.32919
RZ-206X,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,4,24,0.35,30.4,270,39,245,2.5,219,13,55,643.3,51.91,5.209,112.95,346.498,AH,39436.4925,357.95,123.4977923,234.4522077,39723.06489
RZ-207I,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,4,24,0.35,30.4,180,42,277,3,250,13.5,55,643.3,51.29,4.553,129.23,394.883,AH,45120.6545,406.23,141.2914562,264.9385438,45446.39688
RZ-207X,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,4,24,0.35,30.4,270,42,277,3,251,13,55,643.3,51.28,4.534,129.76,396.444,AH,45305.704,406.76,141.8835465,264.8764535,45636.84274
RZ-208I,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,4,24,0.35,30.4,180,45,309,3,282,13.5,55,643.3,50.74,4.029,146.05,444.829,AM,50993.3575,455.05,159.6674113,295.3825887,51357.02283
RZ-208X,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,4,24,0.35,30.4,270,45,309,3,283,13,55,643.3,50.72,4.014,146.57,446.39,AM,51174.9155,455.57,160.2640757,295.3059243,51548.93996
RZ-209I,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,4,24,0.35,30.4,180,47,341,3,314,13.5,55,643.3,50.24,3.613,162.86,494.775,AN,56862.569,503.86,178.0514808,325.8085192,57270.25879
RZ-209X,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,4,24,0.35,30.4,270,47,341,3,315,13,55,643.3,50.23,3.601,163.38,496.336,AN,57044.127,504.38,178.6448209,325.7351791,57461.10664
Z-001I,Gutekunst,EN 10270-1-DH,1/1 Deutsche Oese,0.2,2.7,0.15,3.2,180,25,6.2,0.6,2.5,1.85,0.081,1.391,0.13,0.091,14.45,0.026,ZD,10.6352,20.65,15.28571429,5.364285714,10.63121429
Z-001X,Gutekunst,EN 10270-1-DH,1/1 Deutsche Oese,0.2,2.7,0.15,3.2,270,26,6.2,0.6,2.55,1.82,0.081,1.391,0.13,0.089,14.76,0.027,ZD,10.86336,20.96,15.62921348,5.330786517,10.87011798
Z-002I,Gutekunst,EN 10270-1-DH,1/1 Deutsche Oese,0.2,2.7,0.15,3.2,180,37,8.8,0.6,5.1,1.85,0.081,1.391,0.11,0.043,30.76,0.051,ZD,22.63936,39.56,32.34883721,7.211162791,22.49861628
