Bestellnummer,Hersteller,Werkstoff,Oesenform,d[mm] Drahtdurchmesser,De[mm] Ausserer Windungsdurchmesser,Detol[mm] (+-) Tolereanz fuer ausseren Windungsdurchmesser,Dh[mm] Kleinster Huelsendurchmesser,Oesenstellung,Oesensttol,L0[mm] Laenge unbelastete Feder,L0tol[mm] (+-) Toleranz fuer ungespannte Laenge,Lk[mm] Laenge der unbelasteten Feder,Lh[mm] Abstand der Oeseninnenkante vom Federkoerper,F0[N] Innere Vorspannkraft,Fn[N] Hoechstkraft bei statischer Belastung,Fntol[N] (+-) Toleranz bei statischer Hoechstkraft,k[N/mm] Federrate,Sn[mm] Groesster Federweg bei statischer Belastung,Masse,Preisgruppe,W[Nmm] Federungsarbeit,Ln[mm] Maximal zulaessige Laenge,Lr[mm] Relevante Laenge,Lf[mm] Freie Laenge,V[Nmm] Maximale potentielle Energie
RZ-006KI,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.25,5,0.3,5.7,180,144,51.2,1.3,43.88,3.66,0.021,1.08,0.1,0.002,579.5,1.021,ZH,319.01475,630.7,540,90.7,291.6
RZ-006KX,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.25,5,0.3,5.7,270,144,51.2,1.3,43.94,3.63,0.021,1.08,0.1,0.002,580.3,1.022,ZH,319.45515,631.5,540,91.5,291.6
RZ-006X,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.2,2.2,0.15,2.7,270,41,11,0.6,8.15,1.42,0.081,1.341,0.11,0.044,28.5,0.065,ZH,20.2635,39.5,30.47727273,9.022727273,20.43501136
RZ-007I,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.25,3.45,0.2,4.1,180,26,7.9,0.6,3.13,2.38,0.081,1.661,0.19,0.09,17.38,0.052,ZG,15.13798,25.28,18.45555556,6.824444444,15.32733889
RZ-007X,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.25,3.45,0.2,4.1,270,26,7.9,0.6,3.19,2.35,0.081,1.661,0.19,0.089,17.76,0.053,ZG,15.46896,25.66,18.66292135,6.997078652,15.49955618
RZ-008I,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.25,3.45,0.2,4.1,180,38,11.2,0.6,6.37,2.41,0.081,1.661,0.15,0.043,37.03,0.102,ZG,32.25313,48.23,38.62790698,9.602093023,32.08047674
RZ-008X,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.25,3.45,0.2,4.1,270,38,11.2,0.6,6.43,2.38,0.081,1.661,0.15,0.042,37.41,0.103,ZG,32.58411,48.61,39.54761905,9.062380952,32.84429762
RZ-009AI,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.25,3.45,0.2,4.1,180,56,18.4,0.7,13.62,2.38,0.081,1.661,0.13,0.02,80.87,0.216,ZG,70.43777,99.27,83.05,16.22,68.973025
RZ-009AX,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.25,3.45,0.2,4.1,270,56,18.4,0.7,13.68,2.35,0.081,1.661,0.13,0.019,81.25,0.216,ZG,70.76875,99.65,87.42105263,12.22894737,72.60318421
RZ-009I,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.25,3.45,0.2,4.1,180,48,15,0.6,10.13,2.43,0.081,1.661,0.14,0.026,59.71,0.161,ZG,52.00741,74.71,63.88461538,10.82538462,53.05617308
RZ-009X,Gutekunst,EN 10270-3-1.4310,1/1 Deutsche Oese,0.25,3.45,0.2,4.1,270,48,15,0.6,10.19,2.4,0.081,1.661,0.14,0.026,60.09,0.162,ZG,52.33839,75.09,63.88461538,11.20538462,53.05617308
