Bestellnummer,Hersteller,k[N/mm] Federrate,Masse,Lr[mm] Relevante Laenge,V[Nmm] Maximale potentielle Energie,Fn[N] Hoechstkraft bei statischer Belastung,De[mm] Ausserer Windungsdurchmesser,d[mm] Drahtdurchmesser
RZ-023X,Gutekunst,0.237,0.132,17.34599156,35.65468565,4.111,2.82,0.32
RZ-024AAI,Gutekunst,0.968,0.093,6.633264463,21.29609556,6.421,2.5,0.36
RZ-024AAX,Gutekunst,0.952,0.095,6.744747899,21.65401313,6.421,2.5,0.36
RZ-024ABI,Gutekunst,0.612,0.142,10.49183007,33.68402042,6.421,2.5,0.36
RZ-024ABX,Gutekunst,0.606,0.143,10.59570957,34.01752558,6.421,2.5,0.36
RZ-024ACI,Gutekunst,0.38,0.223,16.89736842,54.24900132,6.421,2.5,0.36
RZ-024ACX,Gutekunst,0.377,0.225,17.03183024,54.68069098,6.421,2.5,0.36
RZ-024ADI,Gutekunst,0.252,0.331,25.48015873,81.8040496,6.421,2.5,0.36
RZ-024ADX,Gutekunst,0.251,0.333,25.58167331,82.12996215,6.421,2.5,0.36
RZ-024AEI,Gutekunst,0.142,0.149,22.8943662,37.21479225,3.251,7,0.4
RZ-024AEX,Gutekunst,0.136,0.155,23.90441176,38.85662132,3.251,7,0.4
RZ-024AFI,Gutekunst,0.082,0.232,39.64634146,64.44512805,3.251,7,0.4
RZ-024AFX,Gutekunst,0.08,0.237,40.6375,66.05625625,3.251,7,0.4
RZ-024AGI,Gutekunst,0.05,0.355,65.02,105.69001,3.251,7,0.4
RZ-024AGX,Gutekunst,0.05,0.36,65.02,105.69001,3.251,7,0.4
RZ-024AHI,Gutekunst,0.032,0.541,101.59375,165.1406406,3.251,7,0.4
RZ-024AHX,Gutekunst,0.032,0.546,101.59375,165.1406406,3.251,7,0.4
RZ-024AI,Gutekunst,0.126,0.241,32.62698413,67.06476587,4.111,2.82,0.32
RZ-024AJI,Gutekunst,0.02,0.85,162.55,264.225025,3.251,7,0.4
RZ-024AJX,Gutekunst,0.02,0.855,162.55,264.225025,3.251,7,0.4
