Bestellnummer,Hersteller,k[N/mm] Federrate,Masse,Lr[mm] Relevante Laenge,V[Nmm] Maximale potentielle Energie,Fn[N] Hoechstkraft bei statischer Belastung,De[mm] Ausserer Windungsdurchmesser,d[mm] Drahtdurchmesser
Z-015EI,Gutekunst,0.069,0.188,46.68115942,75.18000725,3.221,2.2,0.25
Z-015EX,Gutekunst,0.069,0.189,46.68115942,75.18000725,3.221,2.2,0.25
Z-015FI,Gutekunst,0.14,0.077,19.36428571,26.24828929,2.711,5.5,0.32
Z-015FX,Gutekunst,0.134,0.08,20.23134328,27.42358582,2.711,5.5,0.32
Z-015GI,Gutekunst,0.081,0.118,33.4691358,45.36741358,2.711,5.5,0.32
Z-015GX,Gutekunst,0.079,0.121,34.3164557,46.5159557,2.711,5.5,0.32
Z-015HI,Gutekunst,0.05,0.18,54.22,73.49521,2.711,5.5,0.32
Z-015HX,Gutekunst,0.049,0.183,55.32653061,74.99511224,2.711,5.5,0.32
Z-015I,Gutekunst,0.136,0.098,23.68382353,38.14279779,3.221,2.2,0.25
Z-015JI,Gutekunst,0.031,0.272,87.4516129,118.5406613,2.711,5.5,0.32
Z-015JX,Gutekunst,0.031,0.275,87.4516129,118.5406613,2.711,5.5,0.32
Z-015KI,Gutekunst,0.019,0.427,142.6842105,193.4084474,2.711,5.5,0.32
Z-015KX,Gutekunst,0.019,0.429,142.6842105,193.4084474,2.711,5.5,0.32
Z-015LI,Gutekunst,0.013,0.632,208.5384615,282.6738846,2.711,5.5,0.32
Z-015LX,Gutekunst,0.013,0.635,208.5384615,282.6738846,2.711,5.5,0.32
Z-015X,Gutekunst,0.135,0.099,23.85925926,38.42533704,3.221,2.2,0.25
Z-016I,Gutekunst,0.145,0.107,23.66206897,40.59227931,3.431,4.32,0.32
Z-016X,Gutekunst,0.145,0.109,23.66206897,40.59227931,3.431,4.32,0.32
Z-017I,Gutekunst,0.068,0.21,50.45588235,86.55706618,3.431,4.32,0.32
Z-017X,Gutekunst,0.067,0.212,51.20895522,87.84896269,3.431,4.32,0.32
Z-018AI,Gutekunst,0.031,0.441,110.6774194,189.8671129,3.431,4.32,0.32
Z-018AX,Gutekunst,0.031,0.443,110.6774194,189.8671129,3.431,4.32,0.32
Z-018I,Gutekunst,0.042,0.33,81.69047619,140.1400119,3.431,4.32,0.32
Z-018X,Gutekunst,0.042,0.332,81.69047619,140.1400119,3.431,4.32,0.32
Z-019I,Gutekunst,0.283,0.086,14.80918728,31.03265194,4.191,3.52,0.32
Z-019X,Gutekunst,0.277,0.087,15.1299639,31.70483935,4.191,3.52,0.32
Z-020I,Gutekunst,0.133,0.168,31.5112782,66.03188346,4.191,3.52,0.32
Z-020X,Gutekunst,0.132,0.17,31.75,66.532125,4.191,3.52,0.32
Z-021AI,Gutekunst,0.07,0.308,59.87142857,125.4605786,4.191,3.52,0.32
Z-021AX,Gutekunst,0.07,0.31,59.87142857,125.4605786,4.191,3.52,0.32
Z-021BI,Gutekunst,0.062,0.346,67.59677419,141.6490403,4.191,3.52,0.32
Z-021BX,Gutekunst,0.062,0.348,67.59677419,141.6490403,4.191,3.52,0.32
Z-021CI,Gutekunst,0.053,0.404,79.0754717,165.7026509,4.191,3.52,0.32
Z-021CX,Gutekunst,0.053,0.405,79.0754717,165.7026509,4.191,3.52,0.32
Z-021DI,Gutekunst,0.047,0.454,89.17021277,186.8561809,4.191,3.52,0.32
Z-021DX,Gutekunst,0.047,0.456,89.17021277,186.8561809,4.191,3.52,0.32
Z-021EI,Gutekunst,0.042,0.505,99.78571429,209.1009643,4.191,3.52,0.32
Z-021EX,Gutekunst,0.042,0.507,99.78571429,209.1009643,4.191,3.52,0.32
Z-021I,Gutekunst,0.083,0.264,50.4939759,105.8101265,4.191,3.52,0.32
Z-021X,Gutekunst,0.082,0.265,51.1097561,107.1004939,4.191,3.52,0.32
Z-022I,Gutekunst,0.594,0.067,8.705387205,22.50777862,5.171,2.82,0.32
Z-022X,Gutekunst,0.582,0.068,8.884879725,22.97185653,5.171,2.82,0.32
Z-023I,Gutekunst,0.279,0.132,18.53405018,47.91978674,5.171,2.82,0.32
Z-023X,Gutekunst,0.276,0.133,18.73550725,48.44065399,5.171,2.82,0.32
Z-024AAI,Gutekunst,1.126,0.094,7.15008881,28.7826825,8.051,2.5,0.36
Z-024AAX,Gutekunst,1.109,0.096,7.259693417,29.22389585,8.051,2.5,0.36
Z-024ABI,Gutekunst,0.713,0.143,11.29172511,45.45483941,8.051,2.5,0.36
Z-024ABX,Gutekunst,0.705,0.144,11.41985816,45.97063901,8.051,2.5,0.36
Z-024ACI,Gutekunst,0.442,0.224,18.21493213,73.32420928,8.051,2.5,0.36
Z-024ACX,Gutekunst,0.439,0.225,18.33940774,73.82528588,8.051,2.5,0.36
Z-024ADI,Gutekunst,0.293,0.332,27.4778157,110.6119471,8.051,2.5,0.36
Z-024ADX,Gutekunst,0.292,0.333,27.57191781,110.9907551,8.051,2.5,0.36
Z-024AEI,Gutekunst,0.165,0.154,24.61212121,49.97491212,4.061,7,0.4
Z-024AEX,Gutekunst,0.158,0.159,25.70253165,52.18899051,4.061,7,0.4
Z-024AFI,Gutekunst,0.095,0.235,42.74736842,86.79853158,4.061,7,0.4
Z-024AFX,Gutekunst,0.093,0.24,43.66666667,88.66516667,4.061,7,0.4
Z-024AGI,Gutekunst,0.059,0.358,68.83050847,139.7603475,4.061,7,0.4
Z-024AGX,Gutekunst,0.058,0.363,70.01724138,142.1700086,4.061,7,0.4
Z-024AHI,Gutekunst,0.037,0.542,109.7567568,222.8610946,4.061,7,0.4
Z-024AHX,Gutekunst,0.037,0.547,109.7567568,222.8610946,4.061,7,0.4
Z-024AI,Gutekunst,0.147,0.241,35.17687075,90.94979932,5.171,2.82,0.32
Z-024AJI,Gutekunst,0.023,0.849,176.5652174,358.5156739,4.061,7,0.4
Z-024AJX,Gutekunst,0.023,0.854,176.5652174,358.5156739,4.061,7,0.4
Z-024AKI,Gutekunst,0.015,1.258,270.7333333,549.7240333,4.061,7,0.4
Z-024AKX,Gutekunst,0.015,1.263,270.7333333,549.7240333,4.061,7,0.4
Z-024AX,Gutekunst,0.146,0.242,35.41780822,91.57274315,5.171,2.82,0.32
Z-024BI,Gutekunst,0.128,0.276,40.3984375,104.4501602,5.171,2.82,0.32
Z-024BX,Gutekunst,0.127,0.277,40.71653543,105.2726024,5.171,2.82,0.32
Z-024CI,Gutekunst,0.111,0.316,46.58558559,120.4470315,5.171,2.82,0.32
Z-024CX,Gutekunst,0.111,0.317,46.58558559,120.4470315,5.171,2.82,0.32
Z-024DI,Gutekunst,0.098,0.355,52.76530612,136.424699,5.171,2.82,0.32
Z-024DX,Gutekunst,0.098,0.356,52.76530612,136.424699,5.171,2.82,0.32
Z-024EI,Gutekunst,0.088,0.395,58.76136364,151.9275057,5.171,2.82,0.32
Z-024EX,Gutekunst,0.088,0.396,58.76136364,151.9275057,5.171,2.82,0.32
Z-024FI,Gutekunst,2.923,0.028,2.220663702,7.207164044,6.491,2.2,0.32
Z-024FX,Gutekunst,2.796,0.029,2.321530758,7.534528076,6.491,2.2,0.32
Z-024GI,Gutekunst,1.692,0.043,3.836288416,12.45067405,6.491,2.2,0.32
Z-024GX,Gutekunst,1.649,0.044,3.936325045,12.77534294,6.491,2.2,0.32
Z-024HI,Gutekunst,1.037,0.066,6.259402122,20.31488959,6.491,2.2,0.32
Z-024HX,Gutekunst,1.021,0.066,6.357492654,20.63324241,6.491,2.2,0.32
Z-024I,Gutekunst,0.173,0.206,29.89017341,77.28104335,5.171,2.82,0.32
Z-024JI,Gutekunst,0.656,0.099,9.894817073,32.11362881,6.491,2.2,0.32
Z-024JX,Gutekunst,0.65,0.1,9.986153846,32.41006231,6.491,2.2,0.32
Z-024KI,Gutekunst,0.407,0.155,15.94840295,51.76054177,6.491,2.2,0.32
Z-024KX,Gutekunst,0.404,0.156,16.06683168,52.14490223,6.491,2.2,0.32
Z-024LI,Gutekunst,0.27,0.23,24.04074074,78.02422407,6.491,2.2,0.32
Z-024LX,Gutekunst,0.269,0.231,24.13011152,78.31427695,6.491,2.2,0.32
Z-024MI,Gutekunst,0.173,0.106,20.23699422,35.42485838,3.501,6,0.36
Z-024MX,Gutekunst,0.166,0.11,21.09036145,36.91867771,3.501,6,0.36
Z-024NI,Gutekunst,0.1,0.163,35.01,61.285005,3.501,6,0.36
Z-024NX,Gutekunst,0.098,0.166,35.7244898,62.53571939,3.501,6,0.36
Z-024OI,Gutekunst,0.062,0.248,56.46774194,98.84678226,3.501,6,0.36
Z-024OX,Gutekunst,0.061,0.251,57.39344262,100.4672213,3.501,6,0.36
Z-024PI,Gutekunst,0.039,0.375,89.76923077,157.1410385,3.501,6,0.36
Z-024PX,Gutekunst,0.039,0.379,89.76923077,157.1410385,3.501,6,0.36
Z-024QI,Gutekunst,0.024,0.588,145.875,255.3541875,3.501,6,0.36
Z-024QX,Gutekunst,0.024,0.591,145.875,255.3541875,3.501,6,0.36
Z-024RI,Gutekunst,0.016,0.871,218.8125,383.0312813,3.501,6,0.36
Z-024RX,Gutekunst,0.016,0.875,218.8125,383.0312813,3.501,6,0.36
Z-024SI,Gutekunst,0.645,0.067,8.03255814,20.80834186,5.181,4,0.36
Z-024SX,Gutekunst,0.617,0.071,8.397082658,21.75264263,5.181,4,0.36
Z-024TI,Gutekunst,0.373,0.105,13.89008043,35.98225335,5.181,4,0.36
Z-024TX,Gutekunst,0.364,0.108,14.23351648,36.87192445,5.181,4,0.36
Z-024UI,Gutekunst,0.229,0.16,22.62445415,58.60864847,5.181,4,0.36
Z-024UX,Gutekunst,0.225,0.162,23.02666667,59.65058,5.181,4,0.36
Z-024VI,Gutekunst,0.145,0.242,35.73103448,92.56124483,5.181,4,0.36
Z-024VX,Gutekunst,0.143,0.245,36.23076923,93.85580769,5.181,4,0.36
Z-024WI,Gutekunst,0.09,0.38,57.56666667,149.12645,5.181,4,0.36
Z-024WX,Gutekunst,0.089,0.382,58.21348315,150.8020281,5.181,4,0.36
Z-024X,Gutekunst,0.173,0.207,29.89017341,77.28104335,5.171,2.82,0.32
Z-024XI,Gutekunst,0.06,0.563,86.35,223.689675,5.181,4,0.36
Z-024XX,Gutekunst,0.059,0.565,87.81355932,227.4810254,5.181,4,0.36
Z-024YI,Gutekunst,3.174,0.04,2.536546944,10.21086972,8.051,2.5,0.36
Z-024YX,Gutekunst,3.036,0.047,2.651844532,10.67500016,8.051,2.5,0.36
Z-024ZI,Gutekunst,1.838,0.062,4.380304679,17.63291649,8.051,2.5,0.36
Z-024ZX,Gutekunst,1.791,0.063,4.495254048,18.09564517,8.051,2.5,0.36
Z-025AI,Gutekunst,0.245,0.16,21.35102041,55.84359388,5.231,5.4,0.4
Z-025AX,Gutekunst,0.238,0.163,21.9789916,57.48605252,5.231,5.4,0.4
Z-025I,Gutekunst,0.181,0.209,28.90055249,75.58939503,5.231,5.4,0.4
Z-025X,Gutekunst,0.178,0.213,29.38764045,76.8633736,5.231,5.4,0.4
Z-026I,Gutekunst,0.085,0.411,61.54117647,160.9609471,5.231,5.4,0.4
Z-026X,Gutekunst,0.084,0.415,62.27380952,162.8771488,5.231,5.4,0.4
Z-027AI,Gutekunst,0.039,0.861,134.1282051,350.8123205,5.231,5.4,0.4
Z-027AX,Gutekunst,0.039,0.865,134.1282051,350.8123205,5.231,5.4,0.4
Z-027CI,Gutekunst,0.479,0.128,13.32150313,42.50225574,6.381,4.4,0.4
Z-027CX,Gutekunst,0.466,0.131,13.69313305,43.68794099,6.381,4.4,0.4
Z-027I,Gutekunst,0.053,0.644,98.69811321,258.1449151,5.231,5.4,0.4
Z-027X,Gutekunst,0.052,0.647,100.5961538,263.1092404,5.231,5.4,0.4
Z-028I,Gutekunst,0.354,0.168,18.02542373,57.51011441,6.381,4.4,0.4
Z-028X,Gutekunst,0.347,0.171,18.38904899,58.67026081,6.381,4.4,0.4
Z-029I,Gutekunst,0.166,0.329,38.43975904,122.6420512,6.381,4.4,0.4
Z-029X,Gutekunst,0.165,0.338,38.67272727,123.3853364,6.381,4.4,0.4
Z-030AI,Gutekunst,0.088,0.602,72.51136364,231.3475057,6.381,4.4,0.4
Z-030AX,Gutekunst,0.087,0.605,73.34482759,234.0066724,6.381,4.4,0.4
Z-030BI,Gutekunst,0.076,0.689,83.96052632,267.8760592,6.381,4.4,0.4
Z-030BX,Gutekunst,0.076,0.692,83.96052632,267.8760592,6.381,4.4,0.4
Z-030CI,Gutekunst,0.066,0.788,96.68181818,308.4633409,6.381,4.4,0.4
Z-030CX,Gutekunst,0.066,0.791,96.68181818,308.4633409,6.381,4.4,0.4
Z-030DI,Gutekunst,0.059,0.887,108.1525424,345.0606864,6.381,4.4,0.4
Z-030DX,Gutekunst,0.058,0.89,110.0172414,351.0100086,6.381,4.4,0.4
Z-030EI,Gutekunst,0.053,0.987,120.3962264,384.1241604,6.381,4.4,0.4
Z-030EX,Gutekunst,0.052,0.99,122.7115385,391.5111635,6.381,4.4,0.4
Z-030I,Gutekunst,0.103,0.515,61.95145631,197.6561214,6.381,4.4,0.4
Z-030X,Gutekunst,0.103,0.518,61.95145631,197.6561214,6.381,4.4,0.4
Z-031I,Gutekunst,0.692,0.134,11.15751445,43.07358454,7.721,3.6,0.4
Z-031X,Gutekunst,0.677,0.137,11.40472674,44.02794756,7.721,3.6,0.4
Z-032I,Gutekunst,0.325,0.263,23.75692308,91.71360154,7.721,3.6,0.4
Z-032X,Gutekunst,0.322,0.266,23.97826087,92.56807609,7.721,3.6,0.4
Z-033AI,Gutekunst,0.171,0.482,45.15204678,174.3094766,7.721,3.6,0.4
Z-033AX,Gutekunst,0.17,0.484,45.41764706,175.3348265,7.721,3.6,0.4
Z-033BI,Gutekunst,0.149,0.551,51.81879195,200.0464463,7.721,3.6,0.4
Z-033BX,Gutekunst,0.148,0.554,52.16891892,201.3981115,7.721,3.6,0.4
Z-033CI,Gutekunst,0.129,0.631,59.85271318,231.0613992,7.721,3.6,0.4
Z-033CX,Gutekunst,0.129,0.633,59.85271318,231.0613992,7.721,3.6,0.4
Z-033DI,Gutekunst,0.115,0.711,67.13913043,259.190613,7.721,3.6,0.4
Z-033DX,Gutekunst,0.114,0.713,67.72807018,261.4642149,7.721,3.6,0.4
Z-033EI,Gutekunst,0.103,0.79,74.96116505,289.3875777,7.721,3.6,0.4
Z-033EX,Gutekunst,0.102,0.792,75.69607843,292.2247108,7.721,3.6,0.4
Z-033I,Gutekunst,0.201,0.412,38.41293532,148.2931368,7.721,3.6,0.4
Z-033X,Gutekunst,0.2,0.415,38.605,149.0346025,7.721,3.6,0.4
Z-034I,Gutekunst,1.451,0.105,6.506547209,30.7141561,9.441,2.9,0.4
Z-034X,Gutekunst,1.421,0.107,6.643912738,31.36259008,9.441,2.9,0.4
Z-035I,Gutekunst,0.681,0.206,13.86343612,65.44235022,9.441,2.9,0.4
Z-035X,Gutekunst,0.674,0.208,14.0074184,66.12201855,9.441,2.9,0.4
Z-036A-01I,Gutekunst,0.014,2.52,385.7857143,1041.814321,5.401,10,0.5
Z-036A-01X,Gutekunst,0.014,2.52,385.7857143,1041.814321,5.401,10,0.5
Z-036AAI,Gutekunst,0.078,0.529,69.24358974,186.9923141,5.401,10,0.5
Z-036AAX,Gutekunst,0.076,0.541,71.06578947,191.9131645,5.401,10,0.5
Z-036ABI,Gutekunst,0.036,1.035,150.0277778,405.1500139,5.401,10,0.5
Z-036ABX,Gutekunst,0.036,1.046,150.0277778,405.1500139,5.401,10,0.5
Z-036ACI,Gutekunst,0.017,2.047,317.7058824,857.9647353,5.401,10,0.5
Z-036ACX,Gutekunst,0.017,2.059,317.7058824,857.9647353,5.401,10,0.5
Z-036ADI,Gutekunst,0.012,3.06,450.0833333,1215.450042,5.401,10,0.5
Z-036ADX,Gutekunst,0.011,3.071,491,1325.9455,5.401,10,0.5
Z-036AEI,Gutekunst,0.009,4.072,600.1111111,1620.600056,5.401,10,0.5
Z-036AEX,Gutekunst,0.009,4.084,600.1111111,1620.600056,5.401,10,0.5
Z-036AI,Gutekunst,0.359,0.377,26.29805014,124.1399457,9.441,2.9,0.4
Z-036AX,Gutekunst,0.357,0.379,26.44537815,124.8354076,9.441,2.9,0.4
Z-036BAI,Gutekunst,0.159,0.418,42.27044025,142.0498145,6.721,8,0.5
Z-036BAX,Gutekunst,0.155,0.427,43.36129032,145.7156161,6.721,8,0.5
Z-036BBI,Gutekunst,0.074,0.818,90.82432432,305.2151419,6.721,8,0.5
Z-036BBX,Gutekunst,0.073,0.827,92.06849315,309.3961712,6.721,8,0.5
Z-036BCI,Gutekunst,0.036,1.617,186.6944444,627.3866806,6.721,8,0.5
Z-036BCX,Gutekunst,0.035,1.626,192.0285714,645.3120143,6.721,8,0.5
Z-036BDI,Gutekunst,0.023,2.416,292.2173913,981.9965435,6.721,8,0.5
Z-036BDX,Gutekunst,0.023,2.425,292.2173913,981.9965435,6.721,8,0.5
Z-036BEI,Gutekunst,0.017,3.215,395.3529412,1328.583559,6.721,8,0.5
Z-036BEX,Gutekunst,0.017,3.225,395.3529412,1328.583559,6.721,8,0.5
Z-036BI,Gutekunst,0.312,0.431,30.25961538,142.8405144,9.441,2.9,0.4
Z-036BX,Gutekunst,0.311,0.433,30.35691318,143.2998087,9.441,2.9,0.4
Z-036CI,Gutekunst,0.271,0.493,34.83763838,164.451072,9.441,2.9,0.4
Z-036CX,Gutekunst,0.27,0.495,34.96666667,165.06015,9.441,2.9,0.4
Z-036DI,Gutekunst,0.24,0.556,39.3375,185.6926688,9.441,2.9,0.4
Z-036DX,Gutekunst,0.239,0.558,39.50209205,186.4696255,9.441,2.9,0.4
Z-036EI,Gutekunst,0.215,0.618,43.91162791,207.2848395,9.441,2.9,0.4
Z-036EX,Gutekunst,0.215,0.62,43.91162791,207.2848395,9.441,2.9,0.4
Z-036FI,Gutekunst,0.217,0.207,24.47465438,64.9924447,5.311,7.5,0.45
Z-036FX,Gutekunst,0.207,0.214,25.65700483,68.13217633,5.311,7.5,0.45
Z-036GI,Gutekunst,0.125,0.318,42.488,112.826884,5.311,7.5,0.45
Z-036GX,Gutekunst,0.122,0.325,43.53278689,115.6013156,5.311,7.5,0.45
Z-036HI,Gutekunst,0.077,0.484,68.97402597,183.160526,5.311,7.5,0.45
Z-036HX,Gutekunst,0.076,0.491,69.88157895,185.5705329,5.311,7.5,0.45
Z-036I,Gutekunst,0.423,0.323,22.31914894,105.3575426,9.441,2.9,0.4
Z-036JI,Gutekunst,0.047,0.761,113,300.0715,5.311,7.5,0.45
Z-036JX,Gutekunst,0.046,0.768,115.4565217,306.5947935,5.311,7.5,0.45
Z-036KI,Gutekunst,0.03,1.148,177.0333333,470.1120167,5.311,7.5,0.45
Z-036KX,Gutekunst,0.03,1.155,177.0333333,470.1120167,5.311,7.5,0.45
Z-036LI,Gutekunst,0.02,1.701,265.55,705.168025,5.311,7.5,0.45
Z-036LX,Gutekunst,0.02,1.708,265.55,705.168025,5.311,7.5,0.45
Z-036MI,Gutekunst,0.806,0.134,9.765508685,38.43215943,7.871,5,0.45
Z-036MX,Gutekunst,0.771,0.139,10.20881971,40.17680999,7.871,5,0.45
Z-036NI,Gutekunst,0.467,0.205,16.85438972,66.33045075,7.871,5,0.45
Z-036NX,Gutekunst,0.455,0.21,17.2989011,68.07982527,7.871,5,0.45
Z-036OI,Gutekunst,0.286,0.313,27.52097902,108.3088129,7.871,5,0.45
Z-036OX,Gutekunst,0.282,0.317,27.91134752,109.8451082,7.871,5,0.45
Z-036PI,Gutekunst,0.181,0.473,43.48618785,171.1398923,7.871,5,0.45
Z-036PX,Gutekunst,0.179,0.478,43.97206704,173.0520698,7.871,5,0.45
Z-036QI,Gutekunst,0.112,0.742,70.27678571,276.5742902,7.871,5,0.45
Z-036QX,Gutekunst,0.112,0.746,70.27678571,276.5742902,7.871,5,0.45
Z-036RI,Gutekunst,0.075,1.098,104.9466667,413.0176067,7.871,5,0.45
Z-036RX,Gutekunst,0.074,1.103,106.3648649,418.5989257,7.871,5,0.45
Z-036SI,Gutekunst,3.652,0.082,3.274917853,19.58400876,11.96,3.2,0.45
Z-036SX,Gutekunst,3.493,0.084,3.423990839,20.47546522,11.96,3.2,0.45
Z-036TI,Gutekunst,2.114,0.124,5.657521287,33.83197729,11.96,3.2,0.45
Z-036TX,Gutekunst,2.06,0.127,5.805825243,34.71883495,11.96,3.2,0.45
Z-036UI,Gutekunst,1.296,0.189,9.228395062,55.18580247,11.96,3.2,0.45
Z-036UX,Gutekunst,1.275,0.192,9.380392157,56.0947451,11.96,3.2,0.45
Z-036VI,Gutekunst,0.82,0.287,14.58536585,87.2204878,11.96,3.2,0.45
Z-036VX,Gutekunst,0.812,0.289,14.72906404,88.07980296,11.96,3.2,0.45
Z-036WI,Gutekunst,0.509,0.449,23.49705305,140.5123772,11.96,3.2,0.45
Z-036WX,Gutekunst,0.505,0.452,23.68316832,141.6253465,11.96,3.2,0.45
Z-036X,Gutekunst,0.42,0.324,22.47857143,106.1100964,9.441,2.9,0.4
Z-036X-01I,Gutekunst,0.114,0.38,47.37719298,127.9421096,5.401,10,0.5
Z-036X-01X,Gutekunst,0.11,0.38,49.1,132.59455,5.401,10,0.5
Z-036XI,Gutekunst,0.338,0.665,35.38461538,211.6,11.96,3.2,0.45
Z-036XX,Gutekunst,0.336,0.668,35.5952381,212.8595238,11.96,3.2,0.45
Z-037I,Gutekunst,0.221,0.412,35.61538462,140.1643462,7.871,6.8,0.5
Z-037X,Gutekunst,0.217,0.42,36.2718894,142.7480207,7.871,6.8,0.5
Z-038I,Gutekunst,0.104,0.809,75.68269231,297.8492356,7.871,6.8,0.5
Z-038X,Gutekunst,0.103,0.82,76.41747573,300.7409757,7.871,6.8,0.5
Z-039AI,Gutekunst,0.048,1.694,163.9791667,645.3400104,7.871,6.8,0.5
Z-039AX,Gutekunst,0.047,1.702,167.4680851,659.0706489,7.871,6.8,0.5
Z-039I,Gutekunst,0.064,1.267,122.984375,484.0050078,7.871,6.8,0.5
Z-039X,Gutekunst,0.064,1.274,122.984375,484.0050078,7.871,6.8,0.5
Z-040AI,Gutekunst,0.408,0.351,23.65441176,114.144364,9.651,5.5,0.5
Z-040AX,Gutekunst,0.4,0.357,24.1275,116.4272513,9.651,5.5,0.5
Z-040I,Gutekunst,0.443,0.327,21.78555305,105.1261862,9.651,5.5,0.5
Z-040X,Gutekunst,0.434,0.333,22.23732719,107.3062224,9.651,5.5,0.5
Z-041I,Gutekunst,0.208,0.642,46.39903846,223.8985601,9.651,5.5,0.5
Z-041X,Gutekunst,0.206,0.648,46.84951456,226.0723325,9.651,5.5,0.5
Z-042AI,Gutekunst,0.11,1.175,87.73636364,423.3718227,9.651,5.5,0.5
Z-042AX,Gutekunst,0.109,1.181,88.5412844,427.2559679,9.651,5.5,0.5
Z-042BI,Gutekunst,0.095,1.345,101.5894737,490.2200053,9.651,5.5,0.5
Z-042BX,Gutekunst,0.095,1.351,101.5894737,490.2200053,9.651,5.5,0.5
Z-042CI,Gutekunst,0.083,1.539,116.2771084,561.0951867,9.651,5.5,0.5
Z-042CX,Gutekunst,0.082,1.545,117.695122,567.937811,9.651,5.5,0.5
Z-042DI,Gutekunst,0.073,1.733,132.2054795,637.9575411,9.651,5.5,0.5
Z-042DX,Gutekunst,0.073,1.739,132.2054795,637.9575411,9.651,5.5,0.5
Z-042EI,Gutekunst,0.066,1.927,146.2272727,705.6197045,9.651,5.5,0.5
Z-042EX,Gutekunst,0.066,1.933,146.2272727,705.6197045,9.651,5.5,0.5
Z-042FI,Gutekunst,0.736,0.251,14.36141304,75.90006793,10.57,5,0.5
Z-042FX,Gutekunst,0.717,0.256,14.74198047,77.91136681,10.57,5,0.5
Z-042GI,Gutekunst,0.341,0.491,30.99706745,163.8195015,10.57,5,0.5
Z-042GX,Gutekunst,0.337,0.497,31.36498516,165.7639466,10.57,5,0.5
Z-042HI,Gutekunst,0.197,0.818,53.70558376,284.1025381,10.58,5,0.5
Z-042HX,Gutekunst,0.195,0.824,54.25641026,287.0164103,10.58,5,0.5
Z-042I,Gutekunst,0.129,1.006,74.89147287,361.7632597,9.661,5.5,0.5
Z-042JI,Gutekunst,0.164,0.971,64.51219512,341.2695122,10.58,5,0.5
Z-042JX,Gutekunst,0.163,0.977,64.90797546,343.3631902,10.58,5,0.5
Z-042KI,Gutekunst,0.154,1.036,68.7012987,363.4298701,10.58,5,0.5
Z-042KX,Gutekunst,0.153,1.042,69.1503268,365.8052288,10.58,5,0.5
Z-042LI,Gutekunst,0.108,1.454,97.96296296,518.2240741,10.58,5,0.5
Z-042LX,Gutekunst,0.108,1.456,97.96296296,518.2240741,10.58,5,0.5
Z-042MI,Gutekunst,0.081,1.931,130.617284,690.9654321,10.58,5,0.5
Z-042MX,Gutekunst,0.081,1.936,130.617284,690.9654321,10.58,5,0.5
Z-042X,Gutekunst,0.128,1.012,75.4765625,364.5895352,9.661,5.5,0.5
Z-043AI,Gutekunst,1.326,0.18,8.815987934,51.52944947,11.69,4.5,0.5
Z-043AX,Gutekunst,1.284,0.185,9.104361371,53.21499221,11.69,4.5,0.5
Z-043I,Gutekunst,0.865,0.262,13.51445087,78.99196532,11.69,4.5,0.5
Z-043X,Gutekunst,0.847,0.267,13.80165289,80.67066116,11.69,4.5,0.5
Z-044I,Gutekunst,0.406,0.514,28.79310345,168.2956897,11.69,4.5,0.5
Z-044X,Gutekunst,0.402,0.519,29.07960199,169.9702736,11.69,4.5,0.5
Z-045AI,Gutekunst,0.214,0.941,54.62616822,319.2899533,11.69,4.5,0.5
Z-045AX,Gutekunst,0.213,0.946,54.88262911,320.7889671,11.69,4.5,0.5
Z-045BI,Gutekunst,0.186,1.076,62.84946237,367.3551075,11.69,4.5,0.5
Z-045BX,Gutekunst,0.185,1.081,63.18918919,369.3408108,11.69,4.5,0.5
Z-045CI,Gutekunst,0.162,1.232,72.16049383,421.7780864,11.69,4.5,0.5
Z-045CX,Gutekunst,0.161,1.237,72.60869565,424.3978261,11.69,4.5,0.5
Z-045DI,Gutekunst,0.143,1.387,81.74825175,477.8185315,11.69,4.5,0.5
Z-045DX,Gutekunst,0.143,1.392,81.74825175,477.8185315,11.69,4.5,0.5
Z-045E-01I,Gutekunst,1.563,0.192,8.349328215,54.4793666,13.05,4,0.5
Z-045E-01X,Gutekunst,1.523,0.197,8.568614576,55.91021011,13.05,4,0.5
Z-045E-02I,Gutekunst,0.803,0.346,16.25155666,106.0414072,13.05,4,0.5
Z-045E-02X,Gutekunst,0.792,0.35,16.47727273,107.5142045,13.05,4,0.5
Z-045EI,Gutekunst,0.128,1.542,91.328125,533.8128906,11.69,4.5,0.5
Z-045EX,Gutekunst,0.128,1.547,91.328125,533.8128906,11.69,4.5,0.5
Z-045FI,Gutekunst,0.521,0.518,25.04798464,163.4380998,13.05,4,0.5
Z-045FX,Gutekunst,0.517,0.522,25.2417795,164.7026112,13.05,4,0.5
Z-045GI,Gutekunst,0.386,0.688,33.80829016,220.5990933,13.05,4,0.5
Z-045GX,Gutekunst,0.383,0.692,34.07310705,222.3270235,13.05,4,0.5
Z-045HI,Gutekunst,0.306,0.858,42.64705882,278.2720588,13.05,4,0.5
Z-045HX,Gutekunst,0.305,0.862,42.78688525,279.1844262,13.05,4,0.5
Z-045I,Gutekunst,0.252,0.805,46.38888889,271.1430556,11.69,4.5,0.5
Z-045JI,Gutekunst,0.217,1.197,60.13824885,392.4020737,13.05,4,0.5
Z-045JX,Gutekunst,0.216,1.202,60.41666667,394.21875,13.05,4,0.5
Z-045X,Gutekunst,0.25,0.81,46.76,273.3122,11.69,4.5,0.5
Z-046I,Gutekunst,1.69,0.21,8.295857988,58.1539645,14.02,3.7,0.5
